id,division,venue,dt,home_team,away_team,courts,home_authorised,away_authorised,home_captain,away_captain,played,home_rubbers,away_rubbers,drawn_rubbers,home_games,away_games,home_points,away_points,home_attendence,away_attendence,home_PTS,away_PTS,status,confirmed,key,submitted_by,submitted_dt,confirmed_by,confirmed_dt,
42,26,1,14.01.2016 20:00:00,139,138,2,,,,,-1,3,3,0,6,8,239,259,4,4,2,2,0,3,,0,,,
43,27,28,28.02.2016 17:00:00,146,149,2,,,,,146,6,0,0,12,0,252,141,4,4,3,1,0,3,,0,,,
44,27,28,10.03.2016 17:00:00,146,148,2,,,,,146,6,0,0,12,1,271,163,4,4,3,1,0,3,,0,,,
45,27,28,03.04.2016 17:00:00,146,150,2,,,,,146,5,1,0,11,3,281,219,4,4,3,1,0,3,,0,,,
46,27,28,04.10.2015 17:00:00,146,145,2,,,,,-1,3,3,0,7,8,268,263,4,4,2,2,0,3,,0,,,
47,27,28,18.10.2015 17:00:00,146,147,2,,,,,146,6,0,0,12,0,252,139,4,4,3,1,0,3,,0,,,
48,27,19,07.12.2015 19:30:00,149,146,2,,,,,146,0,6,0,1,12,137,271,4,4,1,3,0,3,,0,,,
49,27,19,02.11.2015 19:30:00,149,148,2,,,,,148,1,5,0,3,11,225,284,4,4,1,3,0,3,,0,,,
50,27,19,21.03.2016 19:30:00,149,150,2,,,,,150,2,4,0,5,10,250,296,4,4,1,3,0,3,,0,,,
52,27,19,08.02.2016 19:30:00,149,145,2,,,,,145,0,6,0,2,12,182,293,4,4,1,3,0,3,,0,,,
53,27,19,30.11.2015 19:30:00,149,147,2,,,,,147,2,4,0,8,8,283,275,4,4,1,3,0,3,,0,,,
54,27,20,11.02.2016 19:45:00,148,146,2,,,,,-1,3,3,0,7,6,218,240,4,4,2,2,0,3,,0,,,
55,27,20,14.03.2016 19:45:00,148,149,2,,,,,148,6,0,0,12,0,254,138,4,4,3,1,0,3,,0,,,
56,27,20,28.01.2016 19:45:00,148,150,2,,,,,148,5,1,0,10,4,274,213,4,4,3,1,0,3,,0,,,
57,27,20,26.11.2015 19:45:00,148,145,2,,,,,148,4,2,0,8,4,221,202,4,4,3,1,0,3,,0,,,
58,27,20,01.10.2015 19:45:00,148,147,2,,,,,148,6,0,0,12,0,252,162,4,4,3,1,0,3,,0,,,
59,27,21,15.04.2016 19:30:00,150,146,2,,,,,146,0,6,0,2,12,210,287,4,4,1,3,0,3,,0,,,
