id|match|num|home_p1|home_p2|away_p1|away_p2|home_g1_score|away_g1_score|home_g2_score|away_g2_score|home_g3_score|away_g3_score|
1|58|1|307|319|312|309|18|21|21|13|17|21
2|58|2|310|322|311|499|21|8|21|15|0|0
3|58|3|313|318|330|324|21|13|21|10|0|0
4|58|4|310|322|312|309|16|21|21|18|18|21
5|58|5|313|318|311|499|21|10|21|17|0|0
6|58|6|307|319|330|324|21|18|21|14|0|0
7|58|7|313|318|312|309|21|14|21|11|0|0
8|58|8|307|319|311|499|21|9|21|13|0|0
9|58|9|310|322|330|324|22|20|21|19|0|0
118|149|1|459|474|449|480|21|17|19|21|20|22
119|149|2|435|466|473|-1|21|13|21|8|0|0
120|149|3|453|442|456|-1|17|21|21|15|14|21
121|149|4|435|466|449|480|21|13|19|21|21|12
122|149|5|453|442|473|-1|16|21|21|19|21|12
123|149|6|459|474|456|-1|18|21|11|21|0|0
124|149|7|453|442|449|480|21|19|19|21|22|20
125|149|8|459|474|473|-1|21|5|21|5|0|0
126|149|9|435|466|456|-1|18|21|21|9|16|21
388|226|1|370|368|139|146|15|21|21|14|12|21
389|226|2|363|371|144|143|21|10|21|14|0|0
390|226|3|380|555|149|154|21|18|21|12|0|0
391|226|4|363|371|139|146|21|19|17|21|17|21
392|226|5|370|368|149|154|21|19|12|21|21|11
393|226|6|380|555|144|143|21|17|21|12|0|0
394|226|7|363|371|149|154|21|10|21|4|0|0
395|226|8|380|555|139|146|21|15|21|11|0|0
396|226|9|370|368|144|143|24|22|19|21|21|9
397|152|1|477|483|458|461|12|21|16|21|0|0
398|152|2|469|481|440|475|21|16|9|21|14|21
399|152|3|444|442|449|465|16|21|12|21|0|0
400|152|4|469|481|458|461|21|15|16|21|21|13
401|152|5|477|483|449|465|21|14|15|21|21|12
402|152|6|444|442|440|475|13|21|14|21|0|0
403|152|7|469|481|449|465|21|23|16|21|0|0
404|152|8|444|442|458|461|11|21|21|19|7|21
405|152|9|477|483|440|475|22|24|21|19|15|21
406|163|1|562|560|353|348|21|13|10|21|21|18
407|163|2|556|558|344|354|21|13|21|6|0|0
408|163|3|493|559|338|358|10|21|14|21|0|0
409|163|4|556|558|353|348|13|21|21|23|0|0
410|163|5|562|560|338|358|18|21|17|21|0|0
411|163|6|493|559|344|354|13|21|21|16|21|19
412|163|7|556|558|338|358|15|21|13|21|0|0
413|163|8|493|559|353|348|17|21|18|21|0|0
414|163|9|562|560|344|354|21|15|21|17|0|0
433|114|1|277|276|454|280|21|12|21|16|0|0
434|114|2|272|265|285|513|21|19|21|16|0|0
435|114|3|263|267|504|522|21|16|22|20|0|0
436|114|4|272|265|454|280|17|21|21|18|21|16
437|114|5|277|276|504|522|21|19|21|0|0|0
438|114|6|263|267|285|513|21|14|21|19|0|0
439|114|7|272|265|504|522|21|0|21|0|0|0
440|114|8|263|267|454|280|18|21|18|21|0|0
441|114|9|277|276|285|513|21|8|21|8|0|0
442|331|1|426|427|243|254|21|5|21|7|0|0
443|331|2|160|537|264|252|18|21|21|15|16|21
444|331|3|168|165|-1|-1|21|0|21|0|0|0
