id,match,num,home_p1,home_p2,away_p1,away_p2,home_g1_score,away_g1_score,home_g2_score,away_g2_score,home_g3_score,away_g3_score,
151,198,7,62,69,306,299,20,22,21,15,21,17
152,198,8,71,61,302,300,21,14,21,16,0,0
153,198,9,75,59,318,301,21,17,21,19,0,0
154,202,1,177,175,284,279,20,22,18,21,0,0
155,202,2,164,204,285,280,16,21,12,21,0,0
156,202,3,179,319,283,281,14,21,20,22,0,0
157,202,4,164,204,284,279,17,21,16,21,0,0
158,202,5,179,319,285,280,16,21,19,21,0,0
159,202,6,177,175,283,281,18,21,22,20,9,21
160,202,7,179,319,284,279,21,19,14,21,16,21
161,202,8,177,175,285,280,21,16,11,21,19,21
162,202,9,164,204,283,281,17,21,17,21,0,0
163,204,1,177,175,293,291,21,14,21,13,0,0
164,204,2,179,319,220,219,17,21,15,21,0,0
165,204,3,183,204,294,218,17,21,19,21,0,0
166,204,4,179,319,293,291,21,12,21,12,0,0
167,204,5,183,204,220,219,9,21,15,21,0,0
168,204,6,177,175,294,218,21,15,21,15,0,0
169,204,7,183,204,293,291,21,14,22,20,0,0
170,204,8,177,175,220,219,14,21,12,21,0,0
171,204,9,179,319,294,218,21,11,21,15,0,0
172,228,1,302,300,251,312,21,8,21,12,0,0
173,228,2,306,301,317,252,10,21,16,21,0,0
174,228,3,309,305,263,313,3,21,12,21,0,0
175,228,4,306,301,251,312,21,14,21,15,0,0
176,228,5,309,305,317,252,16,21,14,21,0,0
177,228,6,302,300,263,313,21,17,16,21,17,21
178,228,7,309,305,251,312,19,21,25,27,0,0
179,228,8,302,300,317,252,18,21,21,18,21,13
180,228,9,306,301,263,313,21,16,26,28,22,20
181,232,1,306,299,217,213,15,21,19,21,0,0
182,232,2,302,300,321,216,15,21,21,19,21,14
183,232,3,318,301,311,210,17,21,22,20,16,21
184,232,4,302,300,217,213,16,21,11,21,0,0
185,232,5,318,301,321,216,21,14,23,21,0,0
186,232,6,306,299,311,210,17,21,21,12,20,22
187,232,7,318,301,217,213,7,21,21,18,21,16
188,232,8,306,299,321,216,21,15,21,19,0,0
189,232,9,302,300,311,210,21,16,16,21,13,21
190,222,1,294,218,317,252,21,8,20,22,21,12
191,222,2,220,219,263,313,21,15,21,12,0,0
192,222,3,295,291,251,312,19,21,21,14,21,12
193,222,4,220,219,317,252,21,19,21,12,0,0
194,222,5,295,291,263,313,21,11,21,19,0,0
195,222,6,294,218,251,312,21,8,21,15,0,0
196,222,7,295,291,317,252,21,17,24,22,0,0
197,222,8,294,218,263,313,21,17,21,16,0,0
198,222,9,220,219,251,312,21,15,21,14,0,0
199,213,1,282,279,315,36,19,21,21,9,21,13
200,213,2,285,286,33,37,21,16,21,13,0,0
201,213,3,283,281,27,29,21,11,21,17,0,0
202,213,4,285,286,315,36,21,9,21,19,0,0
203,213,5,283,281,33,37,21,13,21,17,0,0
204,213,6,282,279,27,29,21,11,21,6,0,0
205,213,7,283,281,315,36,21,7,22,20,0,0
206,213,8,282,279,33,37,21,11,21,11,0,0
207,213,9,285,286,27,29,21,6,21,10,0,0
208,233,1,318,301,296,219,21,14,14,21,21,17
209,233,2,304,300,223,291,21,10,21,19,0,0
210,233,3,302,305,297,218,15,21,9,21,0,0
211,233,4,304,300,296,219,21,13,7,21,21,10
212,233,5,302,305,223,291,21,15,19,21,18,21
213,233,6,318,301,297,218,13,21,22,20,18,21
214,233,7,302,305,296,219,11,21,11,21,0,0
215,233,8,318,301,223,291,21,16,21,16,0,0
216,233,9,304,300,297,218,16,21,18,21,0,0
217,239,1,33,37,294,291,21,16,18,21,8,21
218,239,2,315,36,296,218,16,21,14,21,0,0
219,239,3,26,28,220,219,19,21,12,21,0,0
220,239,4,315,36,294,291,16,21,19,21,0,0
221,239,5,26,28,296,218,11,21,20,22,0,0
222,239,6,33,37,220,219,16,21,9,21,0,0
223,239,7,26,28,294,291,21,12,11,21,14,21
224,239,8,33,37,296,218,23,25,21,15,12,21
225,239,9,315,36,220,219,10,21,12,21,0,0
226,299,1,27,316,56,59,21,17,21,17,0,0
227,299,2,25,37,71,61,18,21,21,14,10,21
228,299,3,33,29,62,68,9,21,11,21,0,0
229,299,4,25,37,56,59,21,9,21,14,0,0
230,299,5,33,29,71,61,19,21,11,21,0,0
231,299,6,27,316,62,68,14,21,9,21,0,0
232,299,7,33,29,56,59,7,21,10,21,0,0
233,299,8,27,316,71,61,21,18,13,21,21,18
234,299,9,25,37,62,68,21,16,14,21,16,21
235,230,1,318,300,177,175,16,21,10,21,0,0
236,230,2,306,308,179,180,24,26,6,21,0,0
237,230,3,307,305,164,204,21,17,21,14,0,0
238,230,4,306,308,177,175,10,21,8,21,0,0
239,230,5,307,305,179,180,21,15,21,16,0,0
240,230,6,318,300,164,204,21,13,21,7,0,0
241,230,7,307,305,177,175,16,21,21,14,8,21
242,230,8,318,300,179,180,21,12,21,17,0,0
243,230,9,306,308,164,204,10,21,0,21,0,0
244,226,1,294,291,306,299,27,25,21,18,0,0
245,226,2,296,218,318,300,21,17,22,20,0,0
246,226,3,220,219,302,305,21,11,21,15,0,0
247,226,4,296,218,306,299,21,16,12,21,12,21
248,226,5,220,219,318,300,21,7,21,9,0,0
249,226,6,294,291,302,305,21,19,21,15,0,0
250,226,7,220,219,306,299,21,0,21,0,0,0
251,226,8,294,291,318,300,21,18,21,19,0,0
252,226,9,296,218,302,305,21,16,21,16,0,0
253,207,1,285,286,263,313,21,16,21,15,0,0
254,207,2,284,279,268,252,21,12,21,17,0,0
255,207,3,283,281,251,312,18,21,21,13,21,9
256,207,4,284,279,263,313,21,17,21,18,0,0
257,207,5,283,281,268,252,21,15,21,14,0,0
258,207,6,285,286,251,312,21,15,21,16,0,0
259,207,7,283,281,263,313,17,21,21,19,21,13
260,207,8,285,286,268,252,21,19,21,11,0,0
261,207,9,284,279,251,312,21,12,21,11,0,0
262,300,1,283,281,71,61,13,21,21,12,21,18
263,300,2,284,279,62,68,21,15,15,21,22,20
264,300,3,282,288,56,59,21,15,21,11,0,0
265,300,4,284,279,71,61,19,21,21,11,21,16
266,300,5,282,288,62,68,21,18,10,21,12,21
267,300,6,283,281,56,59,21,15,24,22,0,0
268,300,7,282,288,71,61,17,21,21,19,26,24
269,300,8,283,281,62,68,19,21,21,16,21,23
270,300,9,284,279,56,59,21,15,21,14,0,0
271,209,1,285,286,311,213,11,21,20,22,0,0
272,209,2,284,279,215,214,22,20,21,12,0,0
273,209,3,283,281,217,210,21,16,21,10,0,0
274,209,4,284,279,311,213,21,12,18,21,21,15
275,209,5,283,281,215,214,21,11,16,21,22,20
276,209,6,285,286,217,210,15,21,21,17,23,21
277,209,7,283,281,311,213,23,21,21,9,0,0
278,209,8,285,286,215,214,21,16,18,21,21,7
279,209,9,284,279,217,210,21,12,21,9,0,0
280,301,1,323,210,71,61,23,21,8,21,12,21
281,301,2,311,213,56,59,21,19,21,11,0,0
