id|division|venue|dt|home_team|away_team|courts|home_authorised|away_authorised|home_captain|away_captain|played|home_rubbers|away_rubbers|drawn_rubbers|home_games|away_games|home_points|away_points|home_attendence|away_attendence|home_PTS|away_PTS|status|confirmed|key|submitted_by|submitted_dt|confirmed_by|confirmed_dt|
65|2|2|08.12.2009 19:30:00|11|9|2|||||-1|0|0|8|8|8|305|313|4|4|2|2|0|||13|||
66|2|3|25.02.2010 19:30:00|9|10|2|||||10|1|4|3|5|11|287|314|4|4|1|3|0|||10|||
67|2|3|11.03.2010 19:30:00|9|11|2|||||0|0|0|0|0|0|0|0|0|0|0|0|0|||10|||
68|2|2|25.03.2010 20:00:00|8|9|2|||||8|5|1|2|12|4|321|246|4|4|3|1|0|||3|||
69|3|3|08.10.2009 19:30:00|16|14|2|||||-1|2|2|4|8|8|318|294|4|4|2|2|0|||10|||
70|3|3|15.10.2009 19:30:00|16|15|2|||||15|1|3|4|6|10|289|307|4|4|1|3|0|||10|||
71|3|3|22.10.2009 19:30:00|16|12|2|||||12|1|5|2|4|12|232|316|4|4|1|3|0|||10|||
72|3|6|20.01.2010 20:00:00|15|16|2|||||16|1|2|5|7|9|311|296|4|4|1|3|0|||9|||
73|3|9|15.02.2010 19:00:00|14|16|2|||||16|1|4|3|5|11|271|317|4|4|1|3|0|||8|||
74|3|7|09.03.2010 20:00:00|12|16|2|||||16|1|5|2|4|12|254|318|4|4|1|3|0|||4|||
75|5|3|01.10.2009 19:30:00|24|22|2|||||22|3|6|0|8|12|362|387|6|6|1|3|0|||10|||
76|5|3|05.11.2009 19:30:00|24|23|2|||||0|0|0|0|0|0|0|0|0|0|0|0|1|||10|||
77|5|9|26.11.2009 20:00:00|25|24|3|||||25|6|3|0|13|8|401|343|6|6|3|1|0|||11|||
78|5|3|17.12.2009 19:30:00|24|26|2|||||26|0|9|0|1|18|211|392|6|6|1|3|0|||10|||
79|5|1|20.12.2009 19:00:00|27|24|2|||||24|3|6|0|6|15|351|408|6|6|1|3|0|||12|||
80|5|2|16.02.2010 19:30:00|26|24|2|||||26|7|2|0|14|6|348|311|6|6|3|1|0|||13|||
81|5|6|24.02.2010 20:00:00|23|24|3|||||23|6|3|0|14|7|416|354|6|6|3|1|0|||9|||
82|5|3|18.03.2010 19:30:00|24|25|2|||||24|6|3|0|12|8|365|357|6|6|3|1|0|||10|||
83|5|3|01.04.2010 19:30:00|24|27|2|||||24|6|3|0|12|9|391|360|6|6|3|1|0|||10|||
84|5|9|19.04.2010 19:00:00|22|24|2|||||24|2|7|0|5|15|301|385|6|6|1|3|0|||8|||
85|2|2|24.11.2009 19:30:00|11|10|2|||||11|4|3|1|9|7|303|272|4|4|3|1|0|||13|||
86|2|1|18.04.2010 19:00:00|10|11|2|||||0|0|0|0|0|0|0|0|0|0|0|0|0|||12|||
87|1|9|05.10.2009 19:00:00|4|6|2|||||4|3|2|3|9|7|279|281|4|4|3|1|0|||8|||
88|1|7|20.10.2009 20:00:00|3|6|2|||||-1|3|3|2|8|8|306|289|4|4|2|2|0|||4|||
89|1|1|15.11.2009 19:00:00|6|7|2|||||7|0|8|0|0|16|184|336|4|4|1|3|0|||12|||
91|1|2|05.01.2010 19:30:00|7|6|2|||||7|8|0|0|16|0|336|0|0|0|3|0|-1|||13|||
92|1|1|24.01.2010 19:00:00|6|4|2|||||4|0|8|0|0|16|195|339|4|4|1|3|0|||12|||
93|1|1|31.01.2010 19:00:00|6|2|2|||||2|1|7|0|2|14|218|337|4|4|1|3|0|||12|||
